Procedure_code,Procedure_description
0PWR3JZ,"Revision of Synthetic Substitute in Right Thumb Phalanx, Percutaneous Approach"
03QC0ZZ,"Repair Left Radial Artery, Open Approach"
001U3J6,"Bypass Spinal Canal to Peritoneal Cavity with Synthetic Substitute, Percutaneous Approach"
0KBR3ZX,"Excision of Left Upper Leg Muscle, Percutaneous Approach, Diagnostic"
0SHN45Z,"Insertion of External Fixation Device into Left Metatarsal-Phalangeal Joint, Percutaneous Endoscopic Approach"
0R5A3ZZ,"Destruction of Thoracolumbar Vertebral Joint, Percutaneous Approach"
0R9Q0ZX,"Drainage of Right Carpal Joint, Open Approach, Diagnostic"
0LTT4ZZ,"Resection of Left Ankle Tendon, Percutaneous Endoscopic Approach"
BQ2BYZZ,Computerized Tomography (CT Scan) of Right Tibia/Fibula using Other Contrast
0Q9D30Z,"Drainage of Right Patella with Drainage Device, Percutaneous Approach"
03150K7,"Bypass Right Axillary Artery to Left Upper Leg Artery with Nonautologous Tissue Substitute, Open Approach"
0LQF4ZZ,"Repair Right Abdomen Tendon, Percutaneous Endoscopic Approach"
0U9530Z,"Drainage of Right Fallopian Tube with Drainage Device, Percutaneous Approach"
0HREX74,"Replacement of Left Lower Arm Skin with Autologous Tissue Substitute, Partial Thickness, External Approach"
0N2WXYZ,"Change Other Device in Facial Bone, External Approach"
0UWH41Z,"Revision of Radioactive Element in Vagina and Cul-de-sac, Percutaneous Endoscopic Approach"
0CQJ3ZZ,"Repair Minor Salivary Gland, Percutaneous Approach"
0DL67DZ,"Occlusion of Stomach with Intraluminal Device, Via Natural or Artificial Opening"
018M4ZZ,"Division of Abdominal Sympathetic Nerve, Percutaneous Endoscopic Approach"
0RN43ZZ,"Release Cervicothoracic Vertebral Joint, Percutaneous Approach"
0U9K3ZX,"Drainage of Hymen, Percutaneous Approach, Diagnostic"
041D4A3,null
HZ94ZZZ,"Pharmacotherapy for Substance Abuse Treatment, Naltrexone"
0T160Z8,"Bypass Right Ureter to Colon, Open Approach"
04L33ZZ,"Occlusion of Hepatic Artery, Percutaneous Approach"
03720ZZ,"Dilation of Innominate Artery, Open Approach"
0Q9R30Z,"Drainage of Left Toe Phalanx with Drainage Device, Percutaneous Approach"
0VWD30Z,"Revision of Drainage Device in Testis, Percutaneous Approach"
4.73E+09,"Dilation of Hepatic Artery, Bifurcation, with Two Intraluminal Devices, Percutaneous Endoscopic Approach"
F01G6YZ,Sensory Awareness/Processing/Integrity Assessment of Integumentary System - Lower Back / Lower Extremity using Other Equipment
2W53XYZ,null
037S4GZ,"Dilation of Right Temporal Artery with Four or More Intraluminal Devices, Percutaneous Endoscopic Approach"
312093,"Bypass Innominate Artery to Right Lower Arm Artery with Autologous Venous Tissue, Open Approach"
0CBXXZ1,"Excision of Lower Tooth, External Approach, Multiple"
06RV4JZ,"Replacement of Left Foot Vein with Synthetic Substitute, Percutaneous Endoscopic Approach"
3E0P8TZ,"Introduction of Destructive Agent into Female Reproductive, Via Natural or Artificial Opening Endoscopic"
0Q9R0ZX,"Drainage of Left Toe Phalanx, Open Approach, Diagnostic"
0QW63JZ,"Revision of Synthetic Substitute in Right Upper Femur, Percutaneous Approach"
0WW133Z,"Revision of Infusion Device in Cranial Cavity, Percutaneous Approach"
0KXM4Z1,"Transfer Perineum Muscle with Subcutaneous Tissue, Percutaneous Endoscopic Approach"
04H343Z,"Insertion of Infusion Device into Hepatic Artery, Percutaneous Endoscopic Approach"
F00ZV1Z,Temporal Ordering of Stimuli Assessment using Audiometer
09RKX7Z,"Replacement of Nose with Autologous Tissue Substitute, External Approach"
03PY37Z,"Removal of Autologous Tissue Substitute from Upper Artery, Percutaneous Approach"
095B4ZZ,"Destruction of Right Mastoid Sinus, Percutaneous Endoscopic Approach"
0MPY0KZ,"Removal of Nonautologous Tissue Substitute from Lower Bursa and Ligament, Open Approach"
BG24ZZZ,Computerized Tomography (CT Scan) of Thyroid Gland
0PSM04Z,"Reposition Right Carpal with Internal Fixation Device, Open Approach"
0F967ZZ,"Drainage of Left Hepatic Duct, Via Natural or Artificial Opening"
09930ZX,"Drainage of Right External Auditory Canal, Open Approach, Diagnostic"
0UF77ZZ,"Fragmentation in Bilateral Fallopian Tubes, Via Natural or Artificial Opening"
041D4JJ,"Bypass Left Common Iliac Artery to Left Femoral Artery with Synthetic Substitute, Percutaneous Endoscopic Approach"
027305Z,"Dilation of Coronary Artery, Four or More Arteries with Two Drug-eluting Intraluminal Devices, Open Approach"
04903ZX,"Drainage of Abdominal Aorta, Percutaneous Approach, Diagnostic"
0WPD4YZ,"Removal of Other Device from Pericardial Cavity, Percutaneous Endoscopic Approach"
07VF3CZ,"Restriction of Right Lower Extremity Lymphatic with Extraluminal Device, Percutaneous Approach"
01DR3ZZ,"Extraction of Sacral Nerve, Percutaneous Approach"
0W4M0Z0,"Creation of Vagina in Male Perineum, Open Approach"
0DW60UZ,"Revision of Feeding Device in Stomach, Open Approach"
0HPT70Z,"Removal of Drainage Device from Right Breast, Via Natural or Artificial Opening"
B33RYZZ,Magnetic Resonance Imaging (MRI) of Intracranial Arteries using Other Contrast
04LM4DZ,"Occlusion of Right Popliteal Artery with Intraluminal Device, Percutaneous Endoscopic Approach"
0VPD80Z,"Removal of Drainage Device from Testis, Via Natural or Artificial Opening Endoscopic"
0SBC0ZX,"Excision of Right Knee Joint, Open Approach, Diagnostic"
0DM84ZZ,"Reattachment of Small Intestine, Percutaneous Endoscopic Approach"
0G9F4ZX,"Drainage of Paraganglion Extremity, Percutaneous Endoscopic Approach, Diagnostic"
037144Z,"Dilation of Left Internal Mammary Artery with Drug-eluting Intraluminal Device, Percutaneous Endoscopic Approach"
0PW84JZ,"Revision of Synthetic Substitute in Left Glenoid Cavity, Percutaneous Endoscopic Approach"
0B9K0ZX,"Drainage of Right Lung, Open Approach, Diagnostic"
9WB0XDZ,"Chiropractic Manipulation of Head, Extra-Articular"
0UPH70Z,"Removal of Drainage Device from Vagina and Cul-de-sac, Via Natural or Artificial Opening"
049B0ZZ,"Drainage of Inferior Mesenteric Artery, Open Approach"
0UUG0JZ,"Supplement Vagina with Synthetic Substitute, Open Approach"
02R50JZ,"Replacement of Atrial Septum with Synthetic Substitute, Open Approach"
0FMG4ZZ,"Reattachment of Pancreas, Percutaneous Endoscopic Approach"
02704DZ,"Dilation of Coronary Artery, One Artery with Intraluminal Device, Percutaneous Endoscopic Approach"
03753EZ,"Dilation of Right Axillary Artery with Two Intraluminal Devices, Percutaneous Approach"
0MUD07Z,"Supplement Left Trunk Bursa and Ligament with Autologous Tissue Substitute, Open Approach"
3E0Q06Z,"Introduction of Nutritional Substance into Cranial Cavity and Brain, Open Approach"
0NS444Z,"Reposition Left Parietal Bone with Internal Fixation Device, Percutaneous Endoscopic Approach"
099G7ZZ,"Drainage of Left Eustachian Tube, Via Natural or Artificial Opening"
049R4ZZ,"Drainage of Right Posterior Tibial Artery, Percutaneous Endoscopic Approach"
0TLC7ZZ,"Occlusion of Bladder Neck, Via Natural or Artificial Opening"
3E0N3TZ,"Introduction of Destructive Agent into Male Reproductive, Percutaneous Approach"
037C456,"Dilation of Left Radial Artery, Bifurcation, with Two Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach"
3E0D7GC,"Introduction of Other Therapeutic Substance into Mouth and Pharynx, Via Natural or Artificial Opening"
0FVC8DZ,"Restriction of Ampulla of Vater with Intraluminal Device, Via Natural or Artificial Opening Endoscopic"
0PWFX4Z,"Revision of Internal Fixation Device in Right Humeral Shaft, External Approach"
CW2B1ZZ,Tomographic (Tomo) Nuclear Medicine Imaging of Head and Neck using Technetium 99m (Tc-99m)
0NHS44Z,"Insertion of Internal Fixation Device into Left Maxilla, Percutaneous Endoscopic Approach"
0N810ZZ,"Division of Right Frontal Bone, Open Approach"
0RCH3ZZ,"Extirpation of Matter from Left Acromioclavicular Joint, Percutaneous Approach"
041C0J3,"Bypass Right Common Iliac Artery to Right Renal Artery with Synthetic Substitute, Open Approach"
0RWM0KZ,"Revision of Nonautologous Tissue Substitute in Left Elbow Joint, Open Approach"
05U53JZ,"Supplement Right Subclavian Vein with Synthetic Substitute, Percutaneous Approach"
F0BZ0YZ,Cochlear Implant Rehabilitation Treatment using Other Equipment
07UK4JZ,"Supplement Thoracic Duct with Synthetic Substitute, Percutaneous Endoscopic Approach"
0JHL0VZ,"Insertion of Infusion Pump into Right Upper Leg Subcutaneous Tissue and Fascia, Open Approach"
0RCA0ZZ,"Extirpation of Matter from Thoracolumbar Vertebral Joint, Open Approach"
0SPL3JZ,"Removal of Synthetic Substitute from Left Metatarsal-Tarsal Joint, Percutaneous Approach"
09WK0KZ,"Revision of Nonautologous Tissue Substitute in Nose, Open Approach"
0RB93ZZ,"Excision of Thoracic Vertebral Disc, Percutaneous Approach"
047C0Z6,"Dilation of Right Common Iliac Artery, Bifurcation, Open Approach"
0WWF3JZ,"Revision of Synthetic Substitute in Abdominal Wall, Percutaneous Approach"
0GTL4ZZ,"Resection of Right Superior Parathyroid Gland, Percutaneous Endoscopic Approach"
0RJU3ZZ,null
0QU53KZ,"Supplement Left Acetabulum with Nonautologous Tissue Substitute, Percutaneous Approach"
0CU73KZ,"Supplement Tongue with Nonautologous Tissue Substitute, Percutaneous Approach"
0QB93ZZ,"Excision of Left Femoral Shaft, Percutaneous Approach"
0G9C3ZX,"Drainage of Glomus Jugulare, Percutaneous Approach, Diagnostic"
0DSQ0ZZ,"Reposition Anus, Open Approach"
0XH833Z,"Insertion of Infusion Device into Right Upper Arm, Percutaneous Approach"
0WUC47Z,"Supplement Mediastinum with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
0VW83KZ,null
079C0ZX,"Drainage of Pelvis Lymphatic, Open Approach, Diagnostic"
0L9P0ZZ,"Drainage of Left Lower Leg Tendon, Open Approach"
0N9C4ZX,"Drainage of Right Sphenoid Bone, Percutaneous Endoscopic Approach, Diagnostic"
0NP00KZ,"Removal of Nonautologous Tissue Substitute from Skull, Open Approach"
BR37ZZZ,Magnetic Resonance Imaging (MRI) of Thoracic Spine
0K5T4ZZ,"Destruction of Left Lower Leg Muscle, Percutaneous Endoscopic Approach"
07QM4ZZ,"Repair Thymus, Percutaneous Endoscopic Approach"
0Y0D3KZ,"Alteration of Left Upper Leg with Nonautologous Tissue Substitute, Percutaneous Approach"
0J0N0ZZ,"Alteration of Right Lower Leg Subcutaneous Tissue and Fascia, Open Approach"
06VV3ZZ,"Restriction of Left Foot Vein, Percutaneous Approach"
04RS07Z,"Replacement of Left Posterior Tibial Artery with Autologous Tissue Substitute, Open Approach"
2W4LX5Z,Packing of Right Lower Extremity using Packing Material
04B60ZX,"Excision of Right Colic Artery, Open Approach, Diagnostic"
9WB0XDZ,null
01WY47Z,"Revision of Autologous Tissue Substitute in Peripheral Nerve, Percutaneous Endoscopic Approach"
0D7B8DZ,null
0FH203Z,"Insertion of Infusion Device into Left Lobe Liver, Open Approach"
08UM0KZ,"Supplement Left Extraocular Muscle with Nonautologous Tissue Substitute, Open Approach"
0R9S3ZX,"Drainage of Right Metacarpocarpal Joint, Percutaneous Approach, Diagnostic"
047N36Z,"Dilation of Left Popliteal Artery with Three Drug-eluting Intraluminal Devices, Percutaneous Approach"
0RG63A0,"Fusion of Thoracic Vertebral Joint with Interbody Fusion Device, Anterior Approach, Anterior Column, Percutaneous Approach"
0RGT07Z,"Fusion of Left Metacarpocarpal Joint with Autologous Tissue Substitute, Open Approach"
10Q08ZS,"Repair Urinary System in Products of Conception, Via Natural or Artificial Opening Endoscopic"
F07K0FZ,"Range of Motion and Joint Mobility Treatment of Musculoskeletal System - Upper Back / Upper Extremity using Assistive, Adaptive, Supportive or Protective Equipment"
0GTL4ZZ,null
0CDT8ZZ,"Extraction of Right Vocal Cord, Via Natural or Artificial Opening Endoscopic"
0DV58DZ,"Restriction of Esophagus with Intraluminal Device, Via Natural or Artificial Opening Endoscopic"
02NS0ZZ,"Release Right Pulmonary Vein, Open Approach"
09NB0ZZ,"Release Right Mastoid Sinus, Open Approach"
03LN3ZZ,"Occlusion of Left External Carotid Artery, Percutaneous Approach"
09QR3ZZ,"Repair Left Maxillary Sinus, Percutaneous Approach"
03760D6,"Dilation of Left Axillary Artery, Bifurcation, with Intraluminal Device, Open Approach"
00XG0ZM,"Transfer Optic Nerve to Facial Nerve, Open Approach"
065B4ZZ,"Destruction of Left Renal Vein, Percutaneous Endoscopic Approach"
0SUM0KZ,"Supplement Right Metatarsal-Phalangeal Joint with Nonautologous Tissue Substitute, Open Approach"
BV01YZZ,Plain Radiography of Right Epididymis using Other Contrast
0M980ZZ,"Drainage of Left Hand Bursa and Ligament, Open Approach"
0DJ00ZZ,"Inspection of Upper Intestinal Tract, Open Approach"
0D1M4JP,"Bypass Descending Colon to Rectum with Synthetic Substitute, Percutaneous Endoscopic Approach"
0LM04ZZ,"Reattachment of Head and Neck Tendon, Percutaneous Endoscopic Approach"
047R37Z,"Dilation of Right Posterior Tibial Artery with Four or More Drug-eluting Intraluminal Devices, Percutaneous Approach"
005B0ZZ,"Destruction of Pons, Open Approach"
04R807Z,"Replacement of Middle Colic Artery with Autologous Tissue Substitute, Open Approach"
09N40ZZ,"Release Left External Auditory Canal, Open Approach"
0D9800Z,"Drainage of Small Intestine with Drainage Device, Open Approach"
08RX0KZ,"Replacement of Right Lacrimal Duct with Nonautologous Tissue Substitute, Open Approach"
0DB44ZZ,"Excision of Esophagogastric Junction, Percutaneous Endoscopic Approach"
0HDNXZZ,"Extraction of Left Foot Skin, External Approach"
07914ZX,"Drainage of Right Neck Lymphatic, Percutaneous Endoscopic Approach, Diagnostic"
0WPQX1Z,"Removal of Radioactive Element from Respiratory Tract, External Approach"
06LP0ZZ,"Occlusion of Right Greater Saphenous Vein, Open Approach"
0WH43YZ,"Insertion of Other Device into Upper Jaw, Percutaneous Approach"
04UB37Z,"Supplement Inferior Mesenteric Artery with Autologous Tissue Substitute, Percutaneous Approach"
0H0V0KZ,"Alteration of Bilateral Breast with Nonautologous Tissue Substitute, Open Approach"
05VD3CZ,"Restriction of Right Cephalic Vein with Extraluminal Device, Percutaneous Approach"
05BM3ZX,"Excision of Right Internal Jugular Vein, Percutaneous Approach, Diagnostic"
0NTV0ZZ,"Resection of Left Mandible, Open Approach"
378376,"Dilation of Left Brachial Artery, Bifurcation, with Four or More Drug-eluting Intraluminal Devices, Percutaneous Approach"
2W0MX2Z,Change Cast on Left Lower Extremity
09CM3ZZ,"Extirpation of Matter from Nasal Septum, Percutaneous Approach"
0Q9D4ZZ,"Drainage of Right Patella, Percutaneous Endoscopic Approach"
02110ZC,"Bypass Coronary Artery, Two Arteries from Thoracic Artery, Open Approach"
0T9040Z,"Drainage of Right Kidney with Drainage Device, Percutaneous Endoscopic Approach"
04VH0DZ,"Restriction of Right External Iliac Artery with Intraluminal Device, Open Approach"
0WBN0ZX,"Excision of Female Perineum, Open Approach, Diagnostic"
008S3ZZ,"Division of Hypoglossal Nerve, Percutaneous Approach"
0SJ4XZZ,"Inspection of Lumbosacral Disc, External Approach"
0SHC08Z,"Insertion of Spacer into Right Knee Joint, Open Approach"
3E0E3HZ,"Introduction of Radioactive Substance into Products of Conception, Percutaneous Approach"
0C9T4ZX,"Drainage of Right Vocal Cord, Percutaneous Endoscopic Approach, Diagnostic"
0GCF0ZZ,"Extirpation of Matter from Paraganglion Extremity, Open Approach"
0QPD35Z,"Removal of External Fixation Device from Right Patella, Percutaneous Approach"
041049C,"Bypass Abdominal Aorta to Bilateral Internal Iliac Arteries with Autologous Venous Tissue, Percutaneous Endoscopic Approach"
0MMB0ZZ,"Reattachment of Left Upper Extremity Bursa and Ligament, Open Approach"
09S0XZZ,"Reposition Right External Ear, External Approach"
0T13477,"Bypass Right Kidney Pelvis to Left Ureter with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
2W0MX5Z,Change Packing Material on Left Lower Extremity
0DBR3ZZ,"Excision of Anal Sphincter, Percutaneous Approach"
01983ZX,"Drainage of Thoracic Nerve, Percutaneous Approach, Diagnostic"
3E043VH,"Introduction of Human B-type Natriuretic Peptide into Central Vein, Percutaneous Approach"
047S0Z6,null
0T140J7,"Bypass Left Kidney Pelvis to Left Ureter with Synthetic Substitute, Open Approach"
05V93CZ,"Restriction of Right Brachial Vein with Extraluminal Device, Percutaneous Approach"
002EXYZ,"Change Other Device in Cranial Nerve, External Approach"
BV36YZZ,Magnetic Resonance Imaging (MRI) of Left Testicle using Other Contrast
DWY5GDZ,Isotope Administration to Whole Body using Iodine 131 (I-131)
03V30ZZ,"Restriction of Right Subclavian Artery, Open Approach"
0YBJ4ZZ,"Excision of Left Lower Leg, Percutaneous Endoscopic Approach"
DV119BZ,High Dose Rate (HDR) Brachytherapy of Testis using Palladium 103 (Pd-103)
03HV4DZ,"Insertion of Intraluminal Device into Left Thyroid Artery, Percutaneous Endoscopic Approach"
041L0KH,"Bypass Left Femoral Artery to Right Femoral Artery with Nonautologous Tissue Substitute, Open Approach"
04L40CZ,"Occlusion of Splenic Artery with Extraluminal Device, Open Approach"
0WHL31Z,"Insertion of Radioactive Element into Lower Back, Percutaneous Approach"
00SJ3ZZ,"Reposition Trochlear Nerve, Percutaneous Approach"
0SPF35Z,"Removal of External Fixation Device from Right Ankle Joint, Percutaneous Approach"
0DLP3DZ,"Occlusion of Rectum with Intraluminal Device, Percutaneous Approach"
03U43KZ,"Supplement Left Subclavian Artery with Nonautologous Tissue Substitute, Percutaneous Approach"
03BH4ZX,"Excision of Right Common Carotid Artery, Percutaneous Endoscopic Approach, Diagnostic"
0BP100Z,"Removal of Drainage Device from Trachea, Open Approach"
3E0E37Z,"Introduction of Electrolytic and Water Balance Substance into Products of Conception, Percutaneous Approach"
0BL23CZ,"Occlusion of Carina with Extraluminal Device, Percutaneous Approach"
DV1099Z,null
0JR43JZ,"Replacement of Anterior Neck Subcutaneous Tissue and Fascia with Synthetic Substitute, Percutaneous Approach"
0PCJ3ZZ,"Extirpation of Matter from Left Radius, Percutaneous Approach"
0UY10Z1,"Transplantation of Left Ovary, Syngeneic, Open Approach"
BP240ZZ,Computerized Tomography (CT Scan) of Right Clavicle using High Osmolar Contrast
00953ZZ,"Drainage of Subarachnoid Space, Percutaneous Approach"
0CUM87Z,"Supplement Pharynx with Autologous Tissue Substitute, Via Natural or Artificial Opening Endoscopic"
0K8Q4ZZ,"Division of Right Upper Leg Muscle, Percutaneous Endoscopic Approach"
0PU437Z,"Supplement Thoracic Vertebra with Autologous Tissue Substitute, Percutaneous Approach"
0XUV47Z,"Supplement Right Little Finger with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
0WJP3ZZ,"Inspection of Gastrointestinal Tract, Percutaneous Approach"
05UA0JZ,"Supplement Left Brachial Vein with Synthetic Substitute, Open Approach"
045J3ZZ,"Destruction of Left External Iliac Artery, Percutaneous Approach"
B52S10Z,"Computerized Tomography (CT Scan) of Bilateral Pulmonary Veins using Low Osmolar Contrast, Unenhanced and Enhanced"
0KQ90ZZ,"Repair Right Lower Arm and Wrist Muscle, Open Approach"
07NH0ZZ,"Release Right Inguinal Lymphatic, Open Approach"
0SUM0JZ,"Supplement Right Metatarsal-Phalangeal Joint with Synthetic Substitute, Open Approach"
067G4ZZ,"Dilation of Left External Iliac Vein, Percutaneous Endoscopic Approach"
04783G6,"Dilation of Middle Colic Artery, Bifurcation, with Four or More Intraluminal Devices, Percutaneous Approach"
0Q8H3ZZ,"Division of Left Tibia, Percutaneous Approach"
0FC04ZZ,"Extirpation of Matter from Liver, Percutaneous Endoscopic Approach"
0GB93ZX,"Excision of Para-aortic Body, Percutaneous Approach, Diagnostic"
0RW503Z,"Revision of Infusion Device in Cervicothoracic Vertebral Disc, Open Approach"
0898X0Z,"Drainage of Right Cornea with Drainage Device, External Approach"
0HR5XJ3,"Replacement of Chest Skin with Synthetic Substitute, Full Thickness, External Approach"
0FBD4ZZ,"Excision of Pancreatic Duct, Percutaneous Endoscopic Approach"
047A05Z,"Dilation of Left Renal Artery with Two Drug-eluting Intraluminal Devices, Open Approach"
099V3ZZ,"Drainage of Left Ethmoid Sinus, Percutaneous Approach"
05R007Z,"Replacement of Azygos Vein with Autologous Tissue Substitute, Open Approach"
F0732ZZ,Coordination/Dexterity Treatment of Neurological System - Whole Body
02HN3JZ,"Insertion of Pacemaker Lead into Pericardium, Percutaneous Approach"
06RT07Z,"Replacement of Right Foot Vein with Autologous Tissue Substitute, Open Approach"
0L984ZZ,"Drainage of Left Hand Tendon, Percutaneous Endoscopic Approach"
0RWW33Z,"Revision of Infusion Device in Right Finger Phalangeal Joint, Percutaneous Approach"
0QRF0JZ,"Replacement of Left Patella with Synthetic Substitute, Open Approach"
04RH47Z,"Replacement of Right External Iliac Artery with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
041L4ZS,"Bypass Left Femoral Artery to Lower Extremity Vein, Percutaneous Endoscopic Approach"
019B0ZZ,"Drainage of Lumbar Nerve, Open Approach"
05L94DZ,"Occlusion of Right Brachial Vein with Intraluminal Device, Percutaneous Endoscopic Approach"
0VP487Z,"Removal of Autologous Tissue Substitute from Prostate and Seminal Vesicles, Via Natural or Artificial Opening Endoscopic"
9WB4XLZ,"Chiropractic Manipulation of Sacrum, Other Method"
0D517ZZ,"Destruction of Upper Esophagus, Via Natural or Artificial Opening"
0X050KZ,"Alteration of Left Axilla with Nonautologous Tissue Substitute, Open Approach"
F07D1ZZ,Muscle Performance Treatment of Integumentary System - Head and Neck
0SWQ34Z,"Revision of Internal Fixation Device in Left Toe Phalangeal Joint, Percutaneous Approach"
049140Z,"Drainage of Celiac Artery with Drainage Device, Percutaneous Endoscopic Approach"
0VC93ZZ,"Extirpation of Matter from Right Testis, Percutaneous Approach"
0QR007Z,"Replacement of Lumbar Vertebra with Autologous Tissue Substitute, Open Approach"
08VX0DZ,"Restriction of Right Lacrimal Duct with Intraluminal Device, Open Approach"
04B74ZZ,"Excision of Left Colic Artery, Percutaneous Endoscopic Approach"
021X4KD,"Bypass Thoracic Aorta, Ascending/Arch to Carotid with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
01883ZZ,"Division of Thoracic Nerve, Percutaneous Approach"
0DLA0ZZ,"Occlusion of Jejunum, Open Approach"
0PSG4BZ,"Reposition Left Humeral Shaft with Monoplanar External Fixation Device, Percutaneous Endoscopic Approach"
