Diagnosis_code,Diagnosis_description
S72436P,"Nondisplaced fracture of medial condyle of unspecified femur, subsequent encounter for closed fracture with malunion"
V672XXD,"Person on outside of heavy transport vehicle injured in collision with fixed or stationary object in nontraffic accident, subsequent encounter"
F14959,"Cocaine use, unspecified with cocaine-induced psychotic disorder, unspecified"
V735,"Driver of bus injured in collision with car, pick-up truck or van in traffic accident"
S52242A,"Displaced spiral fracture of shaft of ulna, left arm, initial encounter for closed fracture"
T3409XD,"Frostbite with tissue necrosis of other part of head, subsequent encounter"
T600X3A,"Toxic effect of organophosphate and carbamate insecticides, assault, initial encounter"
I63519,null
M80852A,"Other osteoporosis with current pathological fracture, left femur, initial encounter for fracture"
I802,Phlebitis and thrombophlebitis of other and unspecified deep vessels of lower extremities
T8454XA,"Infection and inflammatory reaction due to internal left knee prosthesis, initial encounter"
S62175A,"Nondisplaced fracture of trapezium [larger multangular], left wrist, initial encounter for closed fracture"
W172XXA,"Fall into hole, initial encounter"
T572X1A,"Toxic effect of manganese and its compounds, accidental (unintentional), initial encounter"
S82455S,"Nondisplaced comminuted fracture of shaft of left fibula, sequela"
S72021C,"Displaced fracture of epiphysis (separation) (upper) of right femur, initial encounter for open fracture type IIIA, IIIB, or IIIC"
M5020,"Other cervical disc displacement, unspecified cervical region"
S259,Injury of unspecified blood vessel of thorax
O3131X0,"Continuing pregnancy after elective fetal reduction of one fetus or more, first trimester, not applicable or unspecified"
H26111,"Localized traumatic opacities, right eye"
S31129,"Laceration of abdominal wall with foreign body, unspecified quadrant without penetration into peritoneal cavity"
M8541,"Solitary bone cyst, shoulder"
D433,Neoplasm of uncertain behavior of cranial nerves
B831,Gnathostomiasis
G431,Migraine with aura
F16151,Hallucinogen abuse with hallucinogen-induced psychotic disorder with hallucinations
G978,Other intraoperative and postprocedural complications and disorders of nervous system
O411210,"Chorioamnionitis, first trimester, not applicable or unspecified"
E113392,"Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, left eye"
T383X5A,"Adverse effect of insulin and oral hypoglycemic [antidiabetic] drugs, initial encounter"
L254,Unspecified contact dermatitis due to food in contact with skin
M1214,"Kaschin-Beck disease, hand"
S241,Other and unspecified injuries of thoracic spinal cord
S62646P,"Nondisplaced fracture of proximal phalanx of right little finger, subsequent encounter for fracture with malunion"
K8591,"Acute pancreatitis with uninfected necrosis, unspecified"
M403,Flatback syndrome
X378XXA,"Other cataclysmic storms, initial encounter"
S60029D,"Contusion of unspecified index finger without damage to nail, subsequent encounter"
H1640,Unspecified corneal neovascularization
S52283D,"Bent bone of unspecified ulna, subsequent encounter for closed fracture with routine healing"
T7807,Anaphylactic reaction due to milk and dairy products
S63214,Subluxation of metacarpophalangeal joint of right ring finger
S62355A,"Nondisplaced fracture of shaft of fourth metacarpal bone, left hand, initial encounter for closed fracture"
D831,Common variable immunodeficiency with predominant immunoregulatory T-cell disorders
S62353G,"Nondisplaced fracture of shaft of third metacarpal bone, left hand, subsequent encounter for fracture with delayed healing"
T84418D,"Breakdown (mechanical) of other internal orthopedic devices, implants and grafts, subsequent encounter"
T25139D,"Burn of first degree of unspecified toe(s) (nail), subsequent encounter"
M86351,"Chronic multifocal osteomyelitis, right femur"
S32051G,"Stable burst fracture of fifth lumbar vertebra, subsequent encounter for fracture with delayed healing"
S93133S,"Subluxation of interphalangeal joint of unspecified great toe, sequela"
M84331,"Stress fracture, right ulna"
S52391A,"Other fracture of shaft of radius, right arm, initial encounter for closed fracture"
T2054,Corrosion of first degree of nose (septum)
S43159S,"Posterior dislocation of unspecified acromioclavicular joint, sequela"
T82320,Displacement of aortic (bifurcation) graft (replacement)
S82853F,"Displaced trimalleolar fracture of unspecified lower leg, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
S82876H,"Nondisplaced pilon fracture of unspecified tibia, subsequent encounter for open fracture type I or II with delayed healing"
S62396,"Other fracture of fifth metacarpal bone, right hand"
Q878,"Other specified congenital malformation syndromes, not elsewhere classified"
S72352R,"Displaced comminuted fracture of shaft of left femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
M1014,"Lead-induced gout, hand"
V80730S,"Animal-rider injured in collision with streetcar, sequela"
S43122A,"Dislocation of left acromioclavicular joint, 100%-200% displacement, initial encounter"
V0192XA,"Pedestrian on skateboard injured in collision with pedal cycle, unspecified whether traffic or nontraffic accident, initial encounter"
S62001D,"Unspecified fracture of navicular [scaphoid] bone of right wrist, subsequent encounter for fracture with routine healing"
S91236S,"Puncture wound without foreign body of unspecified lesser toe(s) with damage to nail, sequela"
Z763,Healthy person accompanying sick person
M62151,"Other rupture of muscle (nontraumatic), right thigh"
S4411XD,"Injury of median nerve at upper arm level, right arm, subsequent encounter"
S98912D,"Complete traumatic amputation of left foot, level unspecified, subsequent encounter"
S62156,"Nondisplaced fracture of hook process of hamate [unciform] bone, unspecified wrist"
M24121,"Other articular cartilage disorders, right elbow"
S52234E,"Nondisplaced oblique fracture of shaft of right ulna, subsequent encounter for open fracture type I or II with routine healing"
Y38891S,"Terrorism involving other means, public safety official injured, sequela"
S8780XD,"Crushing injury of unspecified lower leg, subsequent encounter"
S59032P,"Salter-Harris Type III physeal fracture of lower end of ulna, left arm, subsequent encounter for fracture with malunion"
M438X3,"Other specified deforming dorsopathies, cervicothoracic region"
H699,Unspecified Eustachian tube disorder
V903,Drowning and submersion due to falling or jumping from crushed watercraft
F1118,Opioid abuse with other opioid-induced disorder
C925,Acute myelomonocytic leukemia
S52309,Unspecified fracture of shaft of unspecified radius
S46921S,"Laceration of unspecified muscle, fascia and tendon at shoulder and upper arm level, right arm, sequela"
T82518,Breakdown (mechanical) of other cardiac and vascular devices and implants
K5151,Left sided colitis with complications
Q51811,Hypoplasia of uterus
S62132S,"Displaced fracture of capitate [os magnum] bone, left wrist, sequela"
S89112,Salter-Harris Type I physeal fracture of lower end of left tibia
O292,Central nervous system complications of anesthesia during pregnancy
S68719,Complete traumatic transmetacarpal amputation of unspecified hand
V398,Occupant (driver) (passenger) of three-wheeled motor vehicle injured in other specified transport accidents
S23170D,"Subluxation of T12/L1 thoracic vertebra, subsequent encounter"
S68114D,"Complete traumatic metacarpophalangeal amputation of right ring finger, subsequent encounter"
S52399N,"Other fracture of shaft of radius, unspecified arm, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
S02650B,"Fracture of angle of mandible, unspecified side, initial encounter for open fracture"
Z00110,Health examination for newborn under 8 days old
H02112,Cicatricial ectropion of right lower eyelid
M21061,"Valgus deformity, not elsewhere classified, right knee"
H47619,"Cortical blindness, unspecified side of brain"
S32422S,"Displaced fracture of posterior wall of left acetabulum, sequela"
V1960XD,"Unspecified pedal cyclist injured in collision with unspecified motor vehicles in traffic accident, subsequent encounter"
O3111X5,"Continuing pregnancy after spontaneous abortion of one fetus or more, first trimester, fetus 5"
S52019K,"Torus fracture of upper end of unspecified ulna, subsequent encounter for fracture with nonunion"
M23252,"Derangement of posterior horn of lateral meniscus due to old tear or injury, left knee"
H2154,Posterior synechiae (iris)
X378,Other cataclysmic storms
S82131Q,"Displaced fracture of medial condyle of right tibia, subsequent encounter for open fracture type I or II with malunion"
Y35092S,"Legal intervention involving other firearm discharge, bystander injured, sequela"
T464X5,Adverse effect of angiotensin-converting-enzyme inhibitors
E762,Other mucopolysaccharidoses
S62031G,"Displaced fracture of proximal third of navicular [scaphoid] bone of right wrist, subsequent encounter for fracture with delayed healing"
S72453F,"Displaced supracondylar fracture without intracondylar extension of lower end of unspecified femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
F182,Inhalant dependence
T23771,null
S8252,Displaced fracture of medial malleolus of left tibia
S92202P,"Fracture of unspecified tarsal bone(s) of left foot, subsequent encounter for fracture with malunion"
S66104S,"Unspecified injury of flexor muscle, fascia and tendon of right ring finger at wrist and hand level, sequela"
S12001A,"Unspecified nondisplaced fracture of first cervical vertebra, initial encounter for closed fracture"
S82021K,"Displaced longitudinal fracture of right patella, subsequent encounter for closed fracture with nonunion"
S92122S,"Displaced fracture of body of left talus, sequela"
S30853A,"Superficial foreign body of scrotum and testes, initial encounter"
Y367X,War operations involving chemical weapons and other forms of unconventional warfare
S31110A,"Laceration without foreign body of abdominal wall, right upper quadrant without penetration into peritoneal cavity, initial encounter"
S52612,Displaced fracture of left ulna styloid process
S72445P,"Nondisplaced fracture of lower epiphysis (separation) of left femur, subsequent encounter for closed fracture with malunion"
O323XX4,"Maternal care for face, brow and chin presentation, fetus 4"
H35012,"Changes in retinal vascular appearance, left eye"
Q90,Down syndrome
J84111,"Idiopathic interstitial pneumonia, not otherwise specified"
S66491S,"Other specified injury of intrinsic muscle, fascia and tendon of right thumb at wrist and hand level, sequela"
S2232XS,"Fracture of one rib, left side, sequela"
X782XXA,"Intentional self-harm by sword or dagger, initial encounter"
N210,Calculus in bladder
T22331A,"Burn of third degree of right upper arm, initial encounter"
T673XXA,null
S336XXA,"Sprain of sacroiliac joint, initial encounter"
I824Z2,Acute embolism and thrombosis of unspecified deep veins of left distal lower extremity
H16101,"Unspecified superficial keratitis, right eye"
T462X3,"Poisoning by other antidysrhythmic drugs, assault"
M7751,Other enthesopathy of right foot
M8928,"Other disorders of bone development and growth, other site"
S82116C,"Nondisplaced fracture of unspecified tibial spine, initial encounter for open fracture type IIIA, IIIB, or IIIC"
T81511D,"Adhesions due to foreign body accidentally left in body following infusion or transfusion, subsequent encounter"
S82844C,"Nondisplaced bimalleolar fracture of right lower leg, initial encounter for open fracture type IIIA, IIIB, or IIIC"
M84344D,"Stress fracture, right finger(s), subsequent encounter for fracture with routine healing"
V81,Occupant of railway train or railway vehicle injured in transport accident
S1120,Unspecified open wound of pharynx and cervical esophagus
S35415S,"Laceration of left renal vein, sequela"
M50820,"Other cervical disc disorders, mid-cervical region, unspecified level"
S35292S,"Major laceration of branches of celiac and mesenteric artery, sequela"
S36119A,"Unspecified injury of liver, initial encounter"
S62241D,"Displaced fracture of shaft of first metacarpal bone, right hand, subsequent encounter for fracture with routine healing"
I680,Cerebral amyloid angiopathy
S83521S,"Sprain of posterior cruciate ligament of right knee, sequela"
S06336D,"Contusion and laceration of cerebrum, unspecified, with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving, subsequent encounter"
T22739A,"Corrosion of third degree of unspecified upper arm, initial encounter"
T50A12A,"Poisoning by pertussis vaccine, including combinations with a pertussis component, intentional self-harm, initial encounter"
S42153D,"Displaced fracture of neck of scapula, unspecified shoulder, subsequent encounter for fracture with routine healing"
S80821,"Blister (nonthermal), right lower leg"
S3402,Concussion and edema of sacral spinal cord
S62242P,"Displaced fracture of shaft of first metacarpal bone, left hand, subsequent encounter for fracture with malunion"
I97110,Postprocedural cardiac insufficiency following cardiac surgery
M7689,"Other specified enthesopathies of lower limb, excluding foot"
V622XXA,"Person on outside of heavy transport vehicle injured in collision with two- or three-wheeled motor vehicle in nontraffic accident, initial encounter"
G0431,Postinfectious acute necrotizing hemorrhagic encephalopathy
M65222,"Calcific tendinitis, left upper arm"
F409,"Phobic anxiety disorder, unspecified"
W5919,Other contact with nonvenomous snake
S52615B,"Nondisplaced fracture of left ulna styloid process, initial encounter for open fracture type I or II"
Y389X2S,"Terrorism, secondary effects, civilian injured, sequela"
M02251,"Postimmunization arthropathy, right hip"
S42426K,"Nondisplaced comminuted supracondylar fracture without intercondylar fracture of unspecified humerus, subsequent encounter for fracture with nonunion"
S21251,Open bite of right back wall of thorax without penetration into thoracic cavity
Q429,"Congenital absence, atresia and stenosis of large intestine, part unspecified"
Z728,Other problems related to lifestyle
T452X4A,"Poisoning by vitamins, undetermined, initial encounter"
S83401,Sprain of unspecified collateral ligament of right knee
H05039,Periostitis of unspecified orbit
I63519,Cerebral infarction due to unspecified occlusion or stenosis of unspecified middle cerebral artery
O909,"Complication of the puerperium, unspecified"
S23163S,"Dislocation of T11/T12 thoracic vertebra, sequela"
S92515K,"Nondisplaced fracture of proximal phalanx of left lesser toe(s), subsequent encounter for fracture with nonunion"
T25112,Burn of first degree of left ankle
O361131,"Maternal care for Anti-A sensitization, third trimester, fetus 1"
E71313,Glutaric aciduria type II
T7611XA,"Adult physical abuse, suspected, initial encounter"
W51XXXD,"Accidental striking against or bumped into by another person, subsequent encounter"
S52371R,"Galeazzi's fracture of right radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
S43439,Superior glenoid labrum lesion of unspecified shoulder
L89111,"Pressure ulcer of right upper back, stage 1"
S82819S,"Torus fracture of upper end of unspecified fibula, sequela"
Y37271D,"Military operations involving fragments from weapons, civilian, subsequent encounter"
H348122,"Central retinal vein occlusion, left eye, stable"
T651X4D,"Toxic effect of strychnine and its salts, undetermined, subsequent encounter"
R40214,"Coma scale, eyes open, spontaneous"
S52561M,"Barton's fracture of right radius, subsequent encounter for open fracture type I or II with nonunion"
S82222E,"Displaced transverse fracture of shaft of left tibia, subsequent encounter for open fracture type I or II with routine healing"
O41142,"Placentitis, second trimester"
S39012D,"Strain of muscle, fascia and tendon of lower back, subsequent encounter"
S92312B,"Displaced fracture of first metatarsal bone, left foot, initial encounter for open fracture"
S72024P,"Nondisplaced fracture of epiphysis (separation) (upper) of right femur, subsequent encounter for closed fracture with malunion"
S62630D,"Displaced fracture of distal phalanx of right index finger, subsequent encounter for fracture with routine healing"
S63424D,"Traumatic rupture of palmar ligament of right ring finger at metacarpophalangeal and interphalangeal joint, subsequent encounter"
S45102,"Unspecified injury of brachial artery, left side"
S66115D,"Strain of flexor muscle, fascia and tendon of left ring finger at wrist and hand level, subsequent encounter"
S27321S,"Contusion of lung, unilateral, sequela"
S0101XD,"Laceration without foreign body of scalp, subsequent encounter"
M84639K,"Pathological fracture in other disease, unspecified ulna and radius, subsequent encounter for fracture with nonunion"
S3125XA,"Open bite of penis, initial encounter"
S72423B,"Displaced fracture of lateral condyle of unspecified femur, initial encounter for open fracture type I or II"
S52356F,"Nondisplaced comminuted fracture of shaft of radius, unspecified arm, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
S90445,null
T227,"Corrosion of third degree of shoulder and upper limb, except wrist and hand"
S93692,Other sprain of left foot
S1244XA,"Type III traumatic spondylolisthesis of fifth cervical vertebra, initial encounter for closed fracture"
S66198A,"Other injury of flexor muscle, fascia and tendon of other finger at wrist and hand level, initial encounter"
S52335R,"Nondisplaced oblique fracture of shaft of left radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
R579,"Shock, unspecified"
H348131,"Central retinal vein occlusion, bilateral, with retinal neovascularization"
S62647B,"Nondisplaced fracture of proximal phalanx of left little finger, initial encounter for open fracture"
S2521XD,"Minor laceration of superior vena cava, subsequent encounter"
S42271D,"Torus fracture of upper end of right humerus, subsequent encounter for fracture with routine healing"
T17290,Other foreign object in pharynx causing asphyxiation
S52515M,"Nondisplaced fracture of left radial styloid process, subsequent encounter for open fracture type I or II with nonunion"
S5331XD,"Traumatic rupture of right ulnar collateral ligament, subsequent encounter"
S91121D,"Laceration with foreign body of right great toe without damage to nail, subsequent encounter"
S199XXS,"Unspecified injury of neck, sequela"
S7811,Complete traumatic amputation at level between hip and knee
V402XXS,"Person on outside of car injured in collision with pedestrian or animal in nontraffic accident, sequela"
T22032A,"Burn of unspecified degree of left upper arm, initial encounter"
T8620,Unspecified complication of heart transplant
S83211S,"Bucket-handle tear of medial meniscus, current injury, right knee, sequela"
S36490S,"Other injury of duodenum, sequela"
C925,null
K625,null
S82135M,"Nondisplaced fracture of medial condyle of left tibia, subsequent encounter for open fracture type I or II with nonunion"
S0195XD,"Open bite of unspecified part of head, subsequent encounter"
T3361,Superficial frostbite of right hip and thigh
R062,Wheezing
V243XXS,"Person boarding or alighting a motorcycle injured in collision with heavy transport vehicle or bus, sequela"
S82264M,"Nondisplaced segmental fracture of shaft of right tibia, subsequent encounter for open fracture type I or II with nonunion"
S82199E,"Other fracture of upper end of unspecified tibia, subsequent encounter for open fracture type I or II with routine healing"
S36419D,"Primary blast injury of unspecified part of small intestine, subsequent encounter"
T398X2,"Poisoning by other nonopioid analgesics and antipyretics, not elsewhere classified, intentional self-harm"
I019,"Acute rheumatic heart disease, unspecified"
S72365R,"Nondisplaced segmental fracture of shaft of left femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
S91155A,"Open bite of left lesser toe(s) without damage to nail, initial encounter"
S332XXS,"Dislocation of sacroiliac and sacrococcygeal joint, sequela"
S40879S,"Other superficial bite of unspecified upper arm, sequela"
A1831,Tuberculous peritonitis
O34522,"Maternal care for prolapse of gravid uterus, second trimester"
Z98810,Dental sealant status
G4720,"Circadian rhythm sleep disorder, unspecified type"
T63122,"Toxic effect of venom of other venomous lizard, intentional self-harm"
N8182,Incompetence or weakening of pubocervical tissue
S72464N,"Nondisplaced supracondylar fracture with intracondylar extension of lower end of right femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
S20362D,"Insect bite (nonvenomous) of left front wall of thorax, subsequent encounter"
H17,Corneal scars and opacities
V9106,Burn due to (nonpowered) inflatable craft on fire
K764,Peliosis hepatis
B4089,Other forms of blastomycosis
T3499,Frostbite with tissue necrosis of other sites
O43121,"Velamentous insertion of umbilical cord, first trimester"
S72425P,"Nondisplaced fracture of lateral condyle of left femur, subsequent encounter for closed fracture with malunion"
M84363,"Stress fracture, right fibula"
S73043S,"Central subluxation of unspecified hip, sequela"
K832,Perforation of bile duct
M25429,"Effusion, unspecified elbow"
S12001,Unspecified nondisplaced fracture of first cervical vertebra
W34011,Accidental discharge of paintball gun
T82199A,"Other mechanical complication of unspecified cardiac device, initial encounter"
E103559,"Type 1 diabetes mellitus with stable proliferative diabetic retinopathy, unspecified eye"
H21211,"Degeneration of chamber angle, right eye"
M05821,Other rheumatoid arthritis with rheumatoid factor of right elbow
T81524A,"Obstruction due to foreign body accidentally left in body following endoscopic examination, initial encounter"
S52341N,"Displaced spiral fracture of shaft of radius, right arm, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
T8501XA,"Breakdown (mechanical) of ventricular intracranial (communicating) shunt, initial encounter"
S65112A,"Laceration of radial artery at wrist and hand level of left arm, initial encounter"
Q121,Congenital displaced lens
M706,Trochanteric bursitis
S82466P,"Nondisplaced segmental fracture of shaft of unspecified fibula, subsequent encounter for closed fracture with malunion"
Y386X2A,"Terrorism involving biological weapons, civilian injured, initial encounter"
V7919XS,"Passenger on bus injured in collision with other motor vehicles in nontraffic accident, sequela"
M1A3311,"Chronic gout due to renal impairment, right wrist, with tophus (tophi)"
S7202,Fracture of epiphysis (separation) (upper) of femur
T34829A,"Frostbite with tissue necrosis of unspecified foot, initial encounter"
H47093,"Other disorders of optic nerve, not elsewhere classified, bilateral"
G4409,Other trigeminal autonomic cephalgias (TAC)
S52224A,"Nondisplaced transverse fracture of shaft of right ulna, initial encounter for closed fracture"
T532X2A,"Toxic effect of trichloroethylene, intentional self-harm, initial encounter"
X831XXS,"Intentional self-harm by electrocution, sequela"
H93241,"Temporary auditory threshold shift, right ear"
S37439D,"Laceration of ovary, unspecified, subsequent encounter"
M00151,"Pneumococcal arthritis, right hip"
S14158S,"Other incomplete lesion at C8 level of cervical spinal cord, sequela"
T23719A,"Corrosion of third degree of unspecified thumb (nail), initial encounter"
S83124A,"Posterior dislocation of proximal end of tibia, right knee, initial encounter"
M84539P,"Pathological fracture in neoplastic disease, unspecified ulna and radius, subsequent encounter for fracture with malunion"
B387,Disseminated coccidioidomycosis
S42462D,"Displaced fracture of medial condyle of left humerus, subsequent encounter for fracture with routine healing"
S060X1A,"Concussion with loss of consciousness of 30 minutes or less, initial encounter"
V182XXA,"Unspecified pedal cyclist injured in noncollision transport accident in nontraffic accident, initial encounter"
G2570,"Drug induced movement disorder, unspecified"
M00829,"Arthritis due to other bacteria, unspecified elbow"
T511X2A,"Toxic effect of methanol, intentional self-harm, initial encounter"
T63592S,"Toxic effect of contact with other venomous fish, intentional self-harm, sequela"
H7583,"Other specified disorders of middle ear and mastoid in diseases classified elsewhere, bilateral"
S5701XD,"Crushing injury of right elbow, subsequent encounter"
T2053XD,"Corrosion of first degree of chin, subsequent encounter"
M84364,"Stress fracture, left fibula"
F14,Cocaine related disorders
S43225A,"Posterior dislocation of left sternoclavicular joint, initial encounter"
S68712A,"Complete traumatic transmetacarpal amputation of left hand, initial encounter"
S58029,"Partial traumatic amputation at elbow level, unspecified arm"
H61101,"Unspecified noninfective disorders of pinna, right ear"
K08111,"Complete loss of teeth due to trauma, class I"
V9332XD,"Fall on board fishing boat, subsequent encounter"
A421,Abdominal actinomycosis
S42296S,"Other nondisplaced fracture of upper end of unspecified humerus, sequela"
S12150,Other traumatic displaced spondylolisthesis of second cervical vertebra
T2077,Corrosion of third degree of neck
S61337S,"Puncture wound without foreign body of left little finger with damage to nail, sequela"
T506X4A,"Poisoning by antidotes and chelating agents, undetermined, initial encounter"
S548X1A,"Injury of other nerves at forearm level, right arm, initial encounter"
S32484,Nondisplaced dome fracture of right acetabulum
V0302XS,"Pedestrian on skateboard injured in collision with car, pick-up truck or van in nontraffic accident, sequela"
R1083,Colic
T45602A,"Poisoning by unspecified fibrinolysis-affecting drugs, intentional self-harm, initial encounter"
T22322S,"Burn of third degree of left elbow, sequela"
C9311,"Chronic myelomonocytic leukemia, in remission"
T454X4S,"Poisoning by iron and its compounds, undetermined, sequela"
J930,Spontaneous tension pneumothorax
